NCM;DESCRICAO
03035;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do- ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xar us (Caranx spp.), bijupir  (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh o-do-jap o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
03035100;-- Arenques (Clupea harengus, Clupea pallasii)
03035300;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)
03035400;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)
03035500;-- Carapaus (Trachurus spp.)
03035600;-- Bijupir  (Cobia*) (Rachycentron canadum)
03035700;-- Espadarte (Xiphias gladius)
030359;-- Outros
03035910;Espadins, marlins, veleiros (Istiophoridae)
03035920;Anchoita (Engraulis anchoita)
03035990;Outros
03036;- Peixes das fam lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
03036300;-- Bacalhau-do-atl ntico (Gadus morhua), bacalhau-da-groel ndia (Gadus ogac) e bacalhau-do-pac fico (Gadus macrocephalus)
03036400;-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
03036500;-- Saithe (Escamudo*) (Pollachius virens)
03036600;-- Merluzas (Pescadas*) e abr teas (Merluccius spp., Urophycis spp.)
03036700;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
03036800;-- Verdinhos (Micromesistius poutassou, Micromesistius australis)
030369;-- Outros
03036910;Merluza rosada (Macruronus magellanicus)
03036990;Outros
03038;- Outros peixes, exceto subprodutos comest veis de peixes das subposi  es 0303.91 a 0303.99:
030381;-- Ca  o e outros tubar es
0303811;Tubar o-azul (Prionace glauca)
03038111;Inteiro
03038112;Eviscerado, sem cabe a e sem barbatanas
03038113;Em peda os, com pele
03038114;Em peda os, sem pele
03038119;Outros
03038190;Outros
03038200;-- Raias (Rajidae)
030383;-- Merluza negra e merluza ant rtica (Marlongas*) (Dissostichus spp.)
0303831;Merluza negra (Dissostichus eleginoides)
03038311;Evisceradas, sem cabe a e sem cauda
03038319;Outras
0303832;Merluza ant rtica (Dissostichus mawsoni)
03038321;Evisceradas, sem cabe a e sem cauda
03038329;Outras
03038400;-- Robalos (Dicentrarchus spp.)
030389;-- Outros
03038910;Corvina (Micropogonias furnieri)
03038920;Pescadas (Cynoscion spp.)
0303893;Pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastrophysus)
03038932;Pargo (Lutjanus purpureus)
03038933;Peixe-sapo (Lophius gastrophysus)
0303894;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), tainhas (Mugil spp.), esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus), peixes-rei (Atherina spp.) e nototenias (Patagonotothen spp.)
03038941;Cherne-poveiro (Polyprion americanus)
03038942;Garoupas (Acanthistius spp.)
03038943;Tainhas (Mugil spp.)
03038944;Esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
03038945;Peixes-rei (Atherina spp.)
03038946;Nototenias (Patagonotothen spp.)
0303895;"Curimat s (Prochilodus spp.), til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos), surubins (Pseudoplatystoma spp.), tra ra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.) e pirarucu (Arapaima gigas)"
03038951;Curimat s (Prochilodus spp.)
03038952;"Til pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
03038953;Surubins (Pseudoplatystoma spp.)
03038954;Tra ra (Hoplias malabaricus & H. cf. lacerdae)
03038955;Piaus (Leporinus spp.)
03038956;Pirarucu (Arapaima gigas)
0303896;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (h brido de tambaqui e pacu)
03038961;Piramutaba (Brachyplatystoma vaillantii)
03038962;Dourada (Brachyplatystoma flavicans)
03038963;Pacu (Piaractus mesopotamicus)
03038964;Tambaqui (Colossoma macropomum)
03038965;Tambacu (h brido de tambaqui e pacu)
03038990;Outros
03039;- F gados, ovas, g nadas masculinas, barbatanas, cabe as, caudas, bexigas-natat rias e outros subprodutos comest veis de peixes:
030391;-- F gados, ovas e g nadas masculinas
03039110;Ovas de tainhas (Mugil spp.)
03039190;Outros
03039200;-- Barbatanas de tubar o
030399;-- Outros
03039910;Cabe as de Merluza negra (Dissostichus eleginoides)
03039920;Cabe as de Merluza ant rtica (Dissostichus mawsoni)
03039990;Outros
0304;Fil s (filetes) de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados.
03043;- Fil s (filetes) de til pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabe a-de-serpente (Channa spp.), frescos ou refrigerados:
03043100;-- Til pias (Oreochromis spp.)
030432;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)
03043210;Bagre americano (Ictalurus punctatus)
03043290;Outros
03043300;-- Perca-do-nilo (Lates niloticus)
03043900;-- Outros
