NCM;DESCRICAO
03031300;-- SALM O-DO-ATL NTICO (SALMO SALAR) E SALM O-DO-DAN BIO (HUCHO HUCHO)
03031400;-- TRUTAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE E ONCORHYNCHUS CHRYSOGASTER)
03031900;-- OUTROS
03032;- TIL PIAS (OREOCHROMIS SPP.), BAGRES (PEIXES-GATO*) (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.), CARPAS (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.), ENGUIAS (ANGUILLA SPP.), PERCA-DO-NILO (LATES NILOTICUS) E PEIXES CABE A-DE-SERPENTE (CHANNA SPP.), EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0303.91 A 0303.99:
03032300;-- TIL PIAS (OREOCHROMIS SPP.)
030324;-- BAGRES (PEIXES-GATO*) (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.)
03032410;BAGRE AMERICANO (ICTALURUS PUNCTATUS)
03032490;OUTROS
03032500;-- CARPAS (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)
03032600;-- ENGUIAS (ANGUILLA SPP.)
03032900;-- OUTROS
03033;- PEIXES CHATOS (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE E CITHARIDAE), EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0303.91 A 0303.99:
03033100;-- LINGUADOS-GIGANTES (ALABOTES*) (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS)
03033200;-- SOLHA (PLEURONECTES PLATESSA)
03033300;-- LINGUADOS (SOLEA SPP.)
03033400;-- PREGADO (PSETTA MAXIMA)
03033900;-- OUTROS
03034;- ATUNS (DO G NERO THUNNUS), BONITO-LISTRADO (GAIADO*) (KATSUWONUS PELAMIS), EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0303.91 A 0303.99:
03034100;-- ALBACORA-BRANCA (ATUM) (THUNNUS ALALUNGA)
03034200;-- ALBACORA-LAJE (ATUM) (THUNNUS ALBACARES)
03034300;-- BONITO-LISTRADO (GAIADO*) (KATSUWONUS PELAMIS)
03034400;-- ALBACORA-BANDOLIM (ATUM) (THUNNUS OBESUS)
03034500;-- ATUNS-AZUIS (ATUNS) (THUNNUS THYNNUS, THUNNUS ORIENTALIS)
03034600;-- ATUM-AZUL DO SUL (ATUM) (THUNNUS MACCOYII)
03034900;-- OUTROS
